item,subject,condition,semantic,RT
ma-nma.04,33,ma-nma,1,474
ma-nma.04,34,ma-nma,1,180
ma-nma.04,35,ma-nma,1,274
ma-nma.04,36,ma-nma,1,127
ma-nma.04,37,ma-nma,1,136
ma-nma.05,1,ma-nma,1,176
ma-nma.05,2,ma-nma,1,254
ma-nma.05,3,ma-nma,1,63
ma-nma.05,4,ma-nma,1,264
ma-nma.05,5,ma-nma,1,219
ma-nma.05,6,ma-nma,1,718.8
ma-nma.05,7,ma-nma,1,811
ma-nma.05,8,ma-nma,1,425
ma-nma.05,9,ma-nma,1,200
ma-nma.05,10,ma-nma,1,68
ma-nma.05,11,ma-nma,1,523.2
ma-nma.05,12,ma-nma,1,302
ma-nma.05,13,ma-nma,1,410
ma-nma.05,14,ma-nma,1,581.6
ma-nma.05,15,ma-nma,1,166
ma-nma.05,16,ma-nma,1,249
ma-nma.05,17,ma-nma,1,146
ma-nma.05,18,ma-nma,1,0
ma-nma.05,19,ma-nma,1,93
ma-nma.05,20,ma-nma,1,122
ma-nma.05,21,ma-nma,1,537
ma-nma.05,22,ma-nma,1,417
ma-nma.05,23,ma-nma,1,463.1
ma-nma.05,24,ma-nma,1,136
ma-nma.05,25,ma-nma,1,181
ma-nma.05,26,ma-nma,1,217
ma-nma.05,27,ma-nma,1,547
ma-nma.05,28,ma-nma,1,132
ma-nma.05,29,ma-nma,1,464.5
ma-nma.05,30,ma-nma,1,141
ma-nma.05,31,ma-nma,1,278
ma-nma.05,32,ma-nma,1,645.9
ma-nma.05,33,ma-nma,1,430
ma-nma.05,34,ma-nma,1,171
ma-nma.05,35,ma-nma,1,200
ma-nma.05,36,ma-nma,1,185
ma-nma.05,37,ma-nma,1,249
ma-nma.06,1,ma-nma,1,866.6
ma-nma.06,2,ma-nma,1,264
ma-nma.06,3,ma-nma,1,327
ma-nma.06,4,ma-nma,1,0
ma-nma.06,5,ma-nma,1,221
ma-nma.06,7,ma-nma,1,137
