item,subject,semantic,condition,RT
ma-nma.03,31,1,ma-nma,185
ma-nma.03,32,1,ma-nma,146
ma-nma.03,33,1,ma-nma,171
ma-nma.03,34,1,ma-nma,122
ma-nma.03,35,1,ma-nma,112
ma-nma.03,36,1,ma-nma,136
ma-nma.03,37,1,ma-nma,0
ma-nma.04,1,1,ma-nma,619.2
ma-nma.04,2,1,ma-nma,0
ma-nma.04,3,1,ma-nma,83
ma-nma.04,4,1,ma-nma,0
ma-nma.04,5,1,ma-nma,171
ma-nma.04,6,1,ma-nma,146
ma-nma.04,7,1,ma-nma,176
ma-nma.04,8,1,ma-nma,225
ma-nma.04,9,1,ma-nma,166
ma-nma.04,10,1,ma-nma,0
ma-nma.04,11,1,ma-nma,181
ma-nma.04,12,1,ma-nma,239
ma-nma.04,13,1,ma-nma,445
ma-nma.04,14,1,ma-nma,185
ma-nma.04,15,1,ma-nma,142
ma-nma.04,16,1,ma-nma,151
ma-nma.04,17,1,ma-nma,73
ma-nma.04,18,1,ma-nma,239
ma-nma.04,19,1,ma-nma,166
ma-nma.04,20,1,ma-nma,161
ma-nma.04,21,1,ma-nma,161
ma-nma.04,22,1,ma-nma,528.2
ma-nma.04,23,1,ma-nma,277
ma-nma.04,24,1,ma-nma,866.4
ma-nma.04,25,1,ma-nma,674.5
ma-nma.04,26,1,ma-nma,105
ma-nma.04,27,1,ma-nma,660.1
ma-nma.04,28,1,ma-nma,0
ma-nma.04,29,1,ma-nma,53
ma-nma.04,30,1,ma-nma,180
ma-nma.04,31,1,ma-nma,83
ma-nma.04,32,1,ma-nma,171
ma-nma.04,33,1,ma-nma,92
ma-nma.04,34,1,ma-nma,0
ma-nma.04,35,1,ma-nma,249
ma-nma.04,36,1,ma-nma,0
ma-nma.04,37,1,ma-nma,0
ma-nma.05,1,1,ma-nma,372.4
ma-nma.05,2,1,ma-nma,195
ma-nma.05,3,1,ma-nma,102
ma-nma.05,4,1,ma-nma,391
ma-nma.05,5,1,ma-nma,58
ma-nma.05,6,1,ma-nma,0
ma-nma.05,7,1,ma-nma,410
ma-nma.05,8,1,ma-nma,425
ma-nma.05,9,1,ma-nma,885.2
ma-nma.05,10,1,ma-nma,156
ma-nma.05,11,1,ma-nma,220
ma-nma.05,12,1,ma-nma,0
ma-nma.05,13,1,ma-nma,122
ma-nma.05,14,1,ma-nma,322
ma-nma.05,15,1,ma-nma,185
ma-nma.05,16,1,ma-nma,141
ma-nma.05,17,1,ma-nma,0
ma-nma.05,18,1,ma-nma,132
ma-nma.05,19,1,ma-nma,132
ma-nma.05,20,1,ma-nma,0
ma-nma.05,21,1,ma-nma,239
ma-nma.05,22,1,ma-nma,226
ma-nma.05,23,1,ma-nma,392
ma-nma.05,24,1,ma-nma,0
ma-nma.05,25,1,ma-nma,719.8
ma-nma.05,26,1,ma-nma,130
ma-nma.05,27,1,ma-nma,78
ma-nma.05,28,1,ma-nma,0
ma-nma.05,29,1,ma-nma,78
ma-nma.05,30,1,ma-nma,322.8
ma-nma.05,31,1,ma-nma,860.8
ma-nma.05,32,1,ma-nma,401
ma-nma.05,33,1,ma-nma,127
ma-nma.05,34,1,ma-nma,0
ma-nma.05,35,1,ma-nma,73
ma-nma.05,36,1,ma-nma,161
ma-nma.05,37,1,ma-nma,870.4
ma-nma.06,2,1,ma-nma,161
ma-nma.06,4,1,ma-nma,909.6
ma-nma.06,5,1,ma-nma,0
ma-nma.06,6,1,ma-nma,347
ma-nma.06,7,1,ma-nma,146
ma-nma.06,8,1,ma-nma,478.6
ma-nma.06,9,1,ma-nma,0
ma-nma.06,10,1,ma-nma,185
ma-nma.06,11,1,ma-nma,1036.7
