Participant,Stimulus,condition,semantic,RT
P19,ma-ma.07.rtf,ma-ma,1,97
P20,ma-ma.07.rtf,ma-ma,1,141
P21,ma-ma.07.rtf,ma-ma,1,141
P22,ma-ma.07.rtf,ma-ma,1,130
P23,ma-ma.07.rtf,ma-ma,1,0
P24,ma-ma.07.rtf,ma-ma,1,0
P25,ma-ma.07.rtf,ma-ma,1,246
P26,ma-ma.07.rtf,ma-ma,1,407
P27,ma-ma.07.rtf,ma-ma,1,0
P28,ma-ma.07.rtf,ma-ma,1,273
P29,ma-ma.07.rtf,ma-ma,1,161
P30,ma-ma.07.rtf,ma-ma,1,0
P31,ma-ma.07.rtf,ma-ma,1,171
P32,ma-ma.07.rtf,ma-ma,1,171
P33,ma-ma.07.rtf,ma-ma,1,156
P34,ma-ma.07.rtf,ma-ma,1,474
P35,ma-ma.07.rtf,ma-ma,1,489
P36,ma-ma.07.rtf,ma-ma,1,117
P37,ma-ma.07.rtf,ma-ma,1,0
P01,ma-ma.08.rtf,ma-ma,1,85
P02,ma-ma.08.rtf,ma-ma,1,0
P03,ma-ma.08.rtf,ma-ma,1,58
P04,ma-ma.08.rtf,ma-ma,1,0
P05,ma-ma.08.rtf,ma-ma,1,107
P06,ma-ma.08.rtf,ma-ma,1,0
P07,ma-ma.08.rtf,ma-ma,1,122
P08,ma-ma.08.rtf,ma-ma,1,449
P09,ma-ma.08.rtf,ma-ma,1,386
P10,ma-ma.08.rtf,ma-ma,1,195
P11,ma-ma.08.rtf,ma-ma,1,381
P12,ma-ma.08.rtf,ma-ma,1,0
P13,ma-ma.08.rtf,ma-ma,1,53
P14,ma-ma.08.rtf,ma-ma,1,190
P15,ma-ma.08.rtf,ma-ma,1,278
P16,ma-ma.08.rtf,ma-ma,1,88
P17,ma-ma.08.rtf,ma-ma,1,63
P18,ma-ma.08.rtf,ma-ma,1,137
P19,ma-ma.08.rtf,ma-ma,1,0
P20,ma-ma.08.rtf,ma-ma,1,190
P21,ma-ma.08.rtf,ma-ma,1,396
P22,ma-ma.08.rtf,ma-ma,1,211
P23,ma-ma.08.rtf,ma-ma,1,100
P24,ma-ma.08.rtf,ma-ma,1,141
P25,ma-ma.08.rtf,ma-ma,1,246
P26,ma-ma.08.rtf,ma-ma,1,191
P27,ma-ma.08.rtf,ma-ma,1,0
P28,ma-ma.08.rtf,ma-ma,1,278
P29,ma-ma.08.rtf,ma-ma,1,0
P30,ma-ma.08.rtf,ma-ma,1,0
P31,ma-ma.08.rtf,ma-ma,1,73
P32,ma-ma.08.rtf,ma-ma,1,445
P33,ma-ma.08.rtf,ma-ma,1,0
P34,ma-ma.08.rtf,ma-ma,1,181
P35,ma-ma.08.rtf,ma-ma,1,185
P36,ma-ma.08.rtf,ma-ma,1,0
P37,ma-ma.08.rtf,ma-ma,1,141
P01,ma-ma.09.rtf,ma-ma,1,181
P02,ma-ma.09.rtf,ma-ma,1,141
P03,ma-ma.09.rtf,ma-ma,1,83
P04,ma-ma.09.rtf,ma-ma,1,0
P05,ma-ma.09.rtf,ma-ma,1,156
P06,ma-ma.09.rtf,ma-ma,1,127
P07,ma-ma.09.rtf,ma-ma,1,102
P08,ma-ma.09.rtf,ma-ma,1,386
P09,ma-ma.09.rtf,ma-ma,1,312
P10,ma-ma.09.rtf,ma-ma,1,371
P11,ma-ma.09.rtf,ma-ma,1,146
P12,ma-ma.09.rtf,ma-ma,1,166
P13,ma-ma.09.rtf,ma-ma,1,131
P14,ma-ma.09.rtf,ma-ma,1,205
P15,ma-ma.09.rtf,ma-ma,1,58
P16,ma-ma.09.rtf,ma-ma,1,136
P17,ma-ma.09.rtf,ma-ma,1,0
P18,ma-ma.09.rtf,ma-ma,1,73
P19,ma-ma.09.rtf,ma-ma,1,0
P20,ma-ma.09.rtf,ma-ma,1,400
P21,ma-ma.09.rtf,ma-ma,1,97
P22,ma-ma.09.rtf,ma-ma,1,60
P23,ma-ma.09.rtf,ma-ma,1,0
P24,ma-ma.09.rtf,ma-ma,1,322
P25,ma-ma.09.rtf,ma-ma,1,171
P26,ma-ma.09.rtf,ma-ma,1,287
P27,ma-ma.09.rtf,ma-ma,1,254
P28,ma-ma.09.rtf,ma-ma,1,146
P29,ma-ma.09.rtf,ma-ma,1,78
P30,ma-ma.09.rtf,ma-ma,1,0
P31,ma-ma.09.rtf,ma-ma,1,508
P32,ma-ma.09.rtf,ma-ma,1,312
P33,ma-ma.09.rtf,ma-ma,1,137
P34,ma-ma.09.rtf,ma-ma,1,0
P35,ma-ma.09.rtf,ma-ma,1,440
P36,ma-ma.09.rtf,ma-ma,1,0
P37,ma-ma.09.rtf,ma-ma,1,0
P01,ma-ma.10.rtf,ma-ma,1,55
P02,ma-ma.10.rtf,ma-ma,1,132
P03,ma-ma.10.rtf,ma-ma,1,513
P04,ma-ma.10.rtf,ma-ma,1,0
P05,ma-ma.10.rtf,ma-ma,1,63
P06,ma-ma.10.rtf,ma-ma,1,122
P07,ma-ma.10.rtf,ma-ma,1,180
P08,ma-ma.10.rtf,ma-ma,1,738
P09,ma-ma.10.rtf,ma-ma,1,249
P10,ma-ma.10.rtf,ma-ma,1,298
P11,ma-ma.10.rtf,ma-ma,1,292
P12,ma-ma.10.rtf,ma-ma,1,225
P13,ma-ma.10.rtf,ma-ma,1,122
P14,ma-ma.10.rtf,ma-ma,1,410
P15,ma-ma.10.rtf,ma-ma,1,161
P16,ma-ma.10.rtf,ma-ma,1,127
P17,ma-ma.10.rtf,ma-ma,1,0
P18,ma-ma.10.rtf,ma-ma,1,146
P19,ma-ma.10.rtf,ma-ma,1,127
P20,ma-ma.10.rtf,ma-ma,1,890
P21,ma-ma.10.rtf,ma-ma,1,400
P22,ma-ma.10.rtf,ma-ma,1,166
P23,ma-ma.10.rtf,ma-ma,1,0
P24,ma-ma.10.rtf,ma-ma,1,151
P25,ma-ma.10.rtf,ma-ma,1,141
P26,ma-ma.10.rtf,ma-ma,1,110
P27,ma-ma.10.rtf,ma-ma,1,0
P28,ma-ma.10.rtf,ma-ma,1,161
P29,ma-ma.10.rtf,ma-ma,1,0
P30,ma-ma.10.rtf,ma-ma,1,146
P31,ma-ma.10.rtf,ma-ma,1,332
P32,ma-ma.10.rtf,ma-ma,1,0
P33,ma-ma.10.rtf,ma-ma,1,249
P34,ma-ma.10.rtf,ma-ma,1,141
P35,ma-ma.10.rtf,ma-ma,1,53
P36,ma-ma.10.rtf,ma-ma,1,0
P37,ma-ma.10.rtf,ma-ma,1,0
P01,ma-ma.11.rtf,ma-ma,1,286
P02,ma-ma.11.rtf,ma-ma,1,195
P03,ma-ma.11.rtf,ma-ma,1,0
P04,ma-ma.11.rtf,ma-ma,1,63
P05,ma-ma.11.rtf,ma-ma,1,0
P06,ma-ma.11.rtf,ma-ma,1,170
P07,ma-ma.11.rtf,ma-ma,1,0
P08,ma-ma.11.rtf,ma-ma,1,293
P09,ma-ma.11.rtf,ma-ma,1,0
P10,ma-ma.11.rtf,ma-ma,1,239
P11,ma-ma.11.rtf,ma-ma,1,0
P12,ma-ma.11.rtf,ma-ma,1,166
P13,ma-ma.11.rtf,ma-ma,1,58
P14,ma-ma.11.rtf,ma-ma,1,132
P15,ma-ma.11.rtf,ma-ma,1,122
P16,ma-ma.11.rtf,ma-ma,1,112
P17,ma-ma.11.rtf,ma-ma,1,234
P18,ma-ma.11.rtf,ma-ma,1,0
P19,ma-ma.11.rtf,ma-ma,1,0
P20,ma-ma.11.rtf,ma-ma,1,210
P21,ma-ma.11.rtf,ma-ma,1,0
P22,ma-ma.11.rtf,ma-ma,1,166
P23,ma-ma.11.rtf,ma-ma,1,191
P24,ma-ma.11.rtf,ma-ma,1,624
P25,ma-ma.11.rtf,ma-ma,1,141
P26,ma-ma.11.rtf,ma-ma,1,170
P27,ma-ma.11.rtf,ma-ma,1,523
P28,ma-ma.11.rtf,ma-ma,1,0
P29,ma-ma.11.rtf,ma-ma,1,205
P30,ma-ma.11.rtf,ma-ma,1,0
P31,ma-ma.11.rtf,ma-ma,1,141
P32,ma-ma.11.rtf,ma-ma,1,244
P33,ma-ma.11.rtf,ma-ma,1,0
P34,ma-ma.11.rtf,ma-ma,1,0
P35,ma-ma.11.rtf,ma-ma,1,278
P36,ma-ma.11.rtf,ma-ma,1,146
P37,ma-ma.11.rtf,ma-ma,1,0
P01,ma-ma.12.rtf,ma-ma,1,352
P02,ma-ma.12.rtf,ma-ma,1,185
P03,ma-ma.12.rtf,ma-ma,1,180
P04,ma-ma.12.rtf,ma-ma,1,97
P05,ma-ma.12.rtf,ma-ma,1,146
P06,ma-ma.12.rtf,ma-ma,1,58
P07,ma-ma.12.rtf,ma-ma,1,269
P08,ma-ma.12.rtf,ma-ma,1,132
P09,ma-ma.12.rtf,ma-ma,1,195
P10,ma-ma.12.rtf,ma-ma,1,92
P11,ma-ma.12.rtf,ma-ma,1,156
P12,ma-ma.12.rtf,ma-ma,1,440
P13,ma-ma.12.rtf,ma-ma,1,181
P14,ma-ma.12.rtf,ma-ma,1,254
P15,ma-ma.12.rtf,ma-ma,1,312
P16,ma-ma.12.rtf,ma-ma,1,166
P17,ma-ma.12.rtf,ma-ma,1,0
P18,ma-ma.12.rtf,ma-ma,1,180
P19,ma-ma.12.rtf,ma-ma,1,132
P20,ma-ma.12.rtf,ma-ma,1,0
P21,ma-ma.12.rtf,ma-ma,1,132
P22,ma-ma.12.rtf,ma-ma,1,156
P23,ma-ma.12.rtf,ma-ma,1,0
P24,ma-ma.12.rtf,ma-ma,1,100
P25,ma-ma.12.rtf,ma-ma,1,307
P26,ma-ma.12.rtf,ma-ma,1,312
P27,ma-ma.12.rtf,ma-ma,1,337
P28,ma-ma.12.rtf,ma-ma,1,73
P29,ma-ma.12.rtf,ma-ma,1,107
P30,ma-ma.12.rtf,ma-ma,1,151
P31,ma-ma.12.rtf,ma-ma,1,200
P32,ma-ma.12.rtf,ma-ma,1,107
P33,ma-ma.12.rtf,ma-ma,1,293
P34,ma-ma.12.rtf,ma-ma,1,161
P35,ma-ma.12.rtf,ma-ma,1,161
P36,ma-ma.12.rtf,ma-ma,1,0
P37,ma-ma.12.rtf,ma-ma,1,0
P01,ma-nma.01.rtf,ma-nma,1,166
