Participant,Stimulus,condition,parallel,semantic,RT
P09,ma-ma.07.rtf,ma-ma,2,1,92
P10,ma-ma.07.rtf,ma-ma,2,1,215
P11,ma-ma.07.rtf,ma-ma,2,1,146
P12,ma-ma.07.rtf,ma-ma,2,1,166
P13,ma-ma.07.rtf,ma-ma,2,1,161
P14,ma-ma.07.rtf,ma-ma,2,1,665
P15,ma-ma.07.rtf,ma-ma,2,1,239
P16,ma-ma.07.rtf,ma-ma,2,1,161
P17,ma-ma.07.rtf,ma-ma,2,1,132
P18,ma-ma.07.rtf,ma-ma,2,1,366
P19,ma-ma.07.rtf,ma-ma,2,1,181
P20,ma-ma.07.rtf,ma-ma,2,1,303
P21,ma-ma.07.rtf,ma-ma,2,1,498
P22,ma-ma.07.rtf,ma-ma,2,1,336
P23,ma-ma.07.rtf,ma-ma,2,1,382
P24,ma-ma.07.rtf,ma-ma,2,1,323
P25,ma-ma.07.rtf,ma-ma,2,1,261
P26,ma-ma.07.rtf,ma-ma,2,1,307
P27,ma-ma.07.rtf,ma-ma,2,1,332
P28,ma-ma.07.rtf,ma-ma,2,1,342
P29,ma-ma.07.rtf,ma-ma,2,1,58
P30,ma-ma.07.rtf,ma-ma,2,1,273
P31,ma-ma.07.rtf,ma-ma,2,1,273
P32,ma-ma.07.rtf,ma-ma,2,1,288
P33,ma-ma.07.rtf,ma-ma,2,1,0
P34,ma-ma.07.rtf,ma-ma,2,1,249
P35,ma-ma.07.rtf,ma-ma,2,1,347
P36,ma-ma.07.rtf,ma-ma,2,1,484
P37,ma-ma.07.rtf,ma-ma,2,1,337
P01,ma-ma.08.rtf,ma-ma,2,1,458
P02,ma-ma.08.rtf,ma-ma,2,1,132
P03,ma-ma.08.rtf,ma-ma,2,1,0
P04,ma-ma.08.rtf,ma-ma,2,1,308
P05,ma-ma.08.rtf,ma-ma,2,1,229
P06,ma-ma.08.rtf,ma-ma,2,1,405
P07,ma-ma.08.rtf,ma-ma,2,1,470
P08,ma-ma.08.rtf,ma-ma,2,1,239
P09,ma-ma.08.rtf,ma-ma,2,1,244
P10,ma-ma.08.rtf,ma-ma,2,1,249
P11,ma-ma.08.rtf,ma-ma,2,1,523
P12,ma-ma.08.rtf,ma-ma,2,1,313
P13,ma-ma.08.rtf,ma-ma,2,1,127
P14,ma-ma.08.rtf,ma-ma,2,1,88
P15,ma-ma.08.rtf,ma-ma,2,1,352
P16,ma-ma.08.rtf,ma-ma,2,1,1036
P17,ma-ma.08.rtf,ma-ma,2,1,327
P18,ma-ma.08.rtf,ma-ma,2,1,63
P19,ma-ma.08.rtf,ma-ma,2,1,410
P20,ma-ma.08.rtf,ma-ma,2,1,259
P21,ma-ma.08.rtf,ma-ma,2,1,264
P22,ma-ma.08.rtf,ma-ma,2,1,724
P23,ma-ma.08.rtf,ma-ma,2,1,0
P24,ma-ma.08.rtf,ma-ma,2,1,392
P25,ma-ma.08.rtf,ma-ma,2,1,362
P26,ma-ma.08.rtf,ma-ma,2,1,206
P27,ma-ma.08.rtf,ma-ma,2,1,249
P28,ma-ma.08.rtf,ma-ma,2,1,464
P29,ma-ma.08.rtf,ma-ma,2,1,269
P30,ma-ma.08.rtf,ma-ma,2,1,107
P31,ma-ma.08.rtf,ma-ma,2,1,200
P32,ma-ma.08.rtf,ma-ma,2,1,386
P33,ma-ma.08.rtf,ma-ma,2,1,572
P34,ma-ma.08.rtf,ma-ma,2,1,166
P35,ma-ma.08.rtf,ma-ma,2,1,0
P36,ma-ma.08.rtf,ma-ma,2,1,161
P37,ma-ma.08.rtf,ma-ma,2,1,420
P01,ma-ma.09.rtf,ma-ma,2,1,211
P02,ma-ma.09.rtf,ma-ma,2,1,185
P03,ma-ma.09.rtf,ma-ma,2,1,0
P04,ma-ma.09.rtf,ma-ma,2,1,136
P05,ma-ma.09.rtf,ma-ma,2,1,161
P06,ma-ma.09.rtf,ma-ma,2,1,323
P07,ma-ma.09.rtf,ma-ma,2,1,405
P08,ma-ma.09.rtf,ma-ma,2,1,415
P09,ma-ma.09.rtf,ma-ma,2,1,190
P10,ma-ma.09.rtf,ma-ma,2,1,200
P11,ma-ma.09.rtf,ma-ma,2,1,625
P12,ma-ma.09.rtf,ma-ma,2,1,0
P13,ma-ma.09.rtf,ma-ma,2,1,229
P14,ma-ma.09.rtf,ma-ma,2,1,244
P15,ma-ma.09.rtf,ma-ma,2,1,259
P16,ma-ma.09.rtf,ma-ma,2,1,410
P17,ma-ma.09.rtf,ma-ma,2,1,195
P18,ma-ma.09.rtf,ma-ma,2,1,264
P19,ma-ma.09.rtf,ma-ma,2,1,298
P20,ma-ma.09.rtf,ma-ma,2,1,440
P21,ma-ma.09.rtf,ma-ma,2,1,107
P22,ma-ma.09.rtf,ma-ma,2,1,276
P23,ma-ma.09.rtf,ma-ma,2,1,0
P24,ma-ma.09.rtf,ma-ma,2,1,246
P25,ma-ma.09.rtf,ma-ma,2,1,281
P26,ma-ma.09.rtf,ma-ma,2,1,191
P27,ma-ma.09.rtf,ma-ma,2,1,185
P28,ma-ma.09.rtf,ma-ma,2,1,234
P29,ma-ma.09.rtf,ma-ma,2,1,396
P30,ma-ma.09.rtf,ma-ma,2,1,225
P31,ma-ma.09.rtf,ma-ma,2,1,88
P32,ma-ma.09.rtf,ma-ma,2,1,112
P33,ma-ma.09.rtf,ma-ma,2,1,215
P34,ma-ma.09.rtf,ma-ma,2,1,161
P35,ma-ma.09.rtf,ma-ma,2,1,195
P36,ma-ma.09.rtf,ma-ma,2,1,146
P37,ma-ma.09.rtf,ma-ma,2,1,195
P01,ma-ma.10.rtf,ma-ma,2,1,110
P02,ma-ma.10.rtf,ma-ma,2,1,176
P03,ma-ma.10.rtf,ma-ma,2,1,127
P04,ma-ma.10.rtf,ma-ma,2,1,234
P05,ma-ma.10.rtf,ma-ma,2,1,78
P06,ma-ma.10.rtf,ma-ma,2,1,293
P07,ma-ma.10.rtf,ma-ma,2,1,224
P08,ma-ma.10.rtf,ma-ma,2,1,357
P09,ma-ma.10.rtf,ma-ma,2,1,97
P10,ma-ma.10.rtf,ma-ma,2,1,127
P11,ma-ma.10.rtf,ma-ma,2,1,454
P12,ma-ma.10.rtf,ma-ma,2,1,78
P13,ma-ma.10.rtf,ma-ma,2,1,122
P14,ma-ma.10.rtf,ma-ma,2,1,112
P15,ma-ma.10.rtf,ma-ma,2,1,215
P16,ma-ma.10.rtf,ma-ma,2,1,298
P17,ma-ma.10.rtf,ma-ma,2,1,0
P18,ma-ma.10.rtf,ma-ma,2,1,352
P19,ma-ma.10.rtf,ma-ma,2,1,180
P20,ma-ma.10.rtf,ma-ma,2,1,337
P21,ma-ma.10.rtf,ma-ma,2,1,83
P22,ma-ma.10.rtf,ma-ma,2,1,231
P23,ma-ma.10.rtf,ma-ma,2,1,0
P24,ma-ma.10.rtf,ma-ma,2,1,266
P25,ma-ma.10.rtf,ma-ma,2,1,251
P26,ma-ma.10.rtf,ma-ma,2,1,317
P27,ma-ma.10.rtf,ma-ma,2,1,107
P28,ma-ma.10.rtf,ma-ma,2,1,811
P29,ma-ma.10.rtf,ma-ma,2,1,249
P30,ma-ma.10.rtf,ma-ma,2,1,215
P31,ma-ma.10.rtf,ma-ma,2,1,224
P32,ma-ma.10.rtf,ma-ma,2,1,430
P33,ma-ma.10.rtf,ma-ma,2,1,215
P34,ma-ma.10.rtf,ma-ma,2,1,136
P35,ma-ma.10.rtf,ma-ma,2,1,528
P36,ma-ma.10.rtf,ma-ma,2,1,259
P37,ma-ma.10.rtf,ma-ma,2,1,440
P01,ma-ma.11.rtf,ma-ma,2,1,246
P02,ma-ma.11.rtf,ma-ma,2,1,200
P03,ma-ma.11.rtf,ma-ma,2,1,73
P04,ma-ma.11.rtf,ma-ma,2,1,132
P05,ma-ma.11.rtf,ma-ma,2,1,234
P06,ma-ma.11.rtf,ma-ma,2,1,229
P07,ma-ma.11.rtf,ma-ma,2,1,376
P08,ma-ma.11.rtf,ma-ma,2,1,258
P09,ma-ma.11.rtf,ma-ma,2,1,0
P10,ma-ma.11.rtf,ma-ma,2,1,268
P11,ma-ma.11.rtf,ma-ma,2,1,518
P12,ma-ma.11.rtf,ma-ma,2,1,410
P13,ma-ma.11.rtf,ma-ma,2,1,474
P14,ma-ma.11.rtf,ma-ma,2,1,244
P15,ma-ma.11.rtf,ma-ma,2,1,122
P16,ma-ma.11.rtf,ma-ma,2,1,288
P17,ma-ma.11.rtf,ma-ma,2,1,195
P18,ma-ma.11.rtf,ma-ma,2,1,293
P19,ma-ma.11.rtf,ma-ma,2,1,171
P20,ma-ma.11.rtf,ma-ma,2,1,239
P21,ma-ma.11.rtf,ma-ma,2,1,322
P22,ma-ma.11.rtf,ma-ma,2,1,317
P23,ma-ma.11.rtf,ma-ma,2,1,130
P24,ma-ma.11.rtf,ma-ma,2,1,327
P25,ma-ma.11.rtf,ma-ma,2,1,357
P26,ma-ma.11.rtf,ma-ma,2,1,171
P27,ma-ma.11.rtf,ma-ma,2,1,254
P28,ma-ma.11.rtf,ma-ma,2,1,293
P29,ma-ma.11.rtf,ma-ma,2,1,137
P30,ma-ma.11.rtf,ma-ma,2,1,171
P31,ma-ma.11.rtf,ma-ma,2,1,122
P32,ma-ma.11.rtf,ma-ma,2,1,425
P33,ma-ma.11.rtf,ma-ma,2,1,146
P34,ma-ma.11.rtf,ma-ma,2,1,68
P35,ma-ma.11.rtf,ma-ma,2,1,0
P36,ma-ma.11.rtf,ma-ma,2,1,581
P37,ma-ma.11.rtf,ma-ma,2,1,352
