Stimulus,Participant,condition,semantic,RT
nma-ma.10.rtf,P11,nma-ma,2,860.7
nma-ma.10.rtf,P12,nma-ma,2,166.3
nma-ma.10.rtf,P13,nma-ma,2,176.1
nma-ma.10.rtf,P14,nma-ma,2,293.4
nma-ma.10.rtf,P16,nma-ma,2,171.2
nma-ma.03.rtf,P37,nma-ma,2,0
nma-ma.10.rtf,P18,nma-ma,2,171.1
nma-ma.10.rtf,P22,nma-ma,2,369.5
nma-ma.10.rtf,P24,nma-ma,2,211.4
nma-ma.10.rtf,P26,nma-ma,2,498.4
nma-ma.10.rtf,P28,nma-ma,2,269.1
nma-ma.10.rtf,P30,nma-ma,2,385.1
nma-ma.10.rtf,P32,nma-ma,2,176.1
nma-ma.03.rtf,P10,nma-ma,2,0
nma-ma.10.rtf,P34,nma-ma,2,151.6
nma-ma.03.rtf,P22,nma-ma,2,0
nma-ma.11.rtf,P02,nma-ma,2,214.9
nma-ma.11.rtf,P04,nma-ma,2,175.9
nma-ma.11.rtf,P05,nma-ma,2,88.1
nma-ma.11.rtf,P06,nma-ma,2,211.1
nma-ma.03.rtf,P26,nma-ma,2,55.3
nma-ma.03.rtf,P30,nma-ma,2,0
nma-ma.11.rtf,P07,nma-ma,2,234.7
nma-ma.11.rtf,P08,nma-ma,2,176
nma-ma.11.rtf,P09,nma-ma,2,288.5
nma-ma.11.rtf,P19,nma-ma,2,141.8
nma-ma.11.rtf,P21,nma-ma,2,273.9
nma-ma.11.rtf,P23,nma-ma,2,226.5
nma-ma.11.rtf,P25,nma-ma,2,171.2
nma-ma.11.rtf,P27,nma-ma,2,396
nma-ma.11.rtf,P31,nma-ma,2,166.3
nma-ma.11.rtf,P33,nma-ma,2,224.9
nma-ma.03.rtf,P34,nma-ma,2,0
nma-ma.11.rtf,P35,nma-ma,2,161.5
nma-ma.11.rtf,P37,nma-ma,2,102.6
nma-ma.04.rtf,P03,nma-ma,2,0
nma-ma.11.rtf,P10,nma-ma,2,239.6
nma-ma.11.rtf,P11,nma-ma,2,190.7
nma-ma.11.rtf,P12,nma-ma,2,146.6
nma-ma.11.rtf,P13,nma-ma,2,210.3
nma-ma.11.rtf,P14,nma-ma,2,679.6
nma-ma.04.rtf,P04,nma-ma,2,0
nma-ma.11.rtf,P16,nma-ma,2,302.8
