Participant,Stimulus,condition,parallel,semantic,RT
P37,ma-ma.07.rtf,ma-ma,2,1,0
P01,ma-ma.08.rtf,ma-ma,2,1,402
P02,ma-ma.08.rtf,ma-ma,2,1,0
P03,ma-ma.08.rtf,ma-ma,2,1,0
P04,ma-ma.08.rtf,ma-ma,2,1,299
P05,ma-ma.08.rtf,ma-ma,2,1,0
P06,ma-ma.08.rtf,ma-ma,2,1,425
P07,ma-ma.08.rtf,ma-ma,2,1,0
P08,ma-ma.08.rtf,ma-ma,2,1,195
P09,ma-ma.08.rtf,ma-ma,2,1,0
P10,ma-ma.08.rtf,ma-ma,2,1,396
P11,ma-ma.08.rtf,ma-ma,2,1,298
P12,ma-ma.08.rtf,ma-ma,2,1,0
P13,ma-ma.08.rtf,ma-ma,2,1,0
P14,ma-ma.08.rtf,ma-ma,2,1,640
P15,ma-ma.08.rtf,ma-ma,2,1,132
P16,ma-ma.08.rtf,ma-ma,2,1,308
P17,ma-ma.08.rtf,ma-ma,2,1,415
P18,ma-ma.08.rtf,ma-ma,2,1,0
P19,ma-ma.08.rtf,ma-ma,2,1,0
P20,ma-ma.08.rtf,ma-ma,2,1,371
P21,ma-ma.08.rtf,ma-ma,2,1,655
P22,ma-ma.08.rtf,ma-ma,2,1,0
P23,ma-ma.08.rtf,ma-ma,2,1,0
P24,ma-ma.08.rtf,ma-ma,2,1,347
P25,ma-ma.08.rtf,ma-ma,2,1,1047
P26,ma-ma.08.rtf,ma-ma,2,1,166
P27,ma-ma.08.rtf,ma-ma,2,1,0
P28,ma-ma.08.rtf,ma-ma,2,1,503
P29,ma-ma.08.rtf,ma-ma,2,1,0
P30,ma-ma.08.rtf,ma-ma,2,1,0
P31,ma-ma.08.rtf,ma-ma,2,1,0
P32,ma-ma.08.rtf,ma-ma,2,1,0
P33,ma-ma.08.rtf,ma-ma,2,1,0
P34,ma-ma.08.rtf,ma-ma,2,1,0
P35,ma-ma.08.rtf,ma-ma,2,1,0
P36,ma-ma.08.rtf,ma-ma,2,1,0
P37,ma-ma.08.rtf,ma-ma,2,1,278
P01,ma-ma.09.rtf,ma-ma,2,1,0
P02,ma-ma.09.rtf,ma-ma,2,1,0
P03,ma-ma.09.rtf,ma-ma,2,1,0
P04,ma-ma.09.rtf,ma-ma,2,1,0
P05,ma-ma.09.rtf,ma-ma,2,1,0
P06,ma-ma.09.rtf,ma-ma,2,1,410
P07,ma-ma.09.rtf,ma-ma,2,1,0
P08,ma-ma.09.rtf,ma-ma,2,1,0
P09,ma-ma.09.rtf,ma-ma,2,1,0
P10,ma-ma.09.rtf,ma-ma,2,1,0
P11,ma-ma.09.rtf,ma-ma,2,1,0
P12,ma-ma.09.rtf,ma-ma,2,1,0
P13,ma-ma.09.rtf,ma-ma,2,1,181
P14,ma-ma.09.rtf,ma-ma,2,1,351
P15,ma-ma.09.rtf,ma-ma,2,1,239
P16,ma-ma.09.rtf,ma-ma,2,1,0
P17,ma-ma.09.rtf,ma-ma,2,1,0
P18,ma-ma.09.rtf,ma-ma,2,1,0
P19,ma-ma.09.rtf,ma-ma,2,1,288
P20,ma-ma.09.rtf,ma-ma,2,1,0
P21,ma-ma.09.rtf,ma-ma,2,1,0
P22,ma-ma.09.rtf,ma-ma,2,1,0
P23,ma-ma.09.rtf,ma-ma,2,1,0
P24,ma-ma.09.rtf,ma-ma,2,1,0
P25,ma-ma.09.rtf,ma-ma,2,1,241
P26,ma-ma.09.rtf,ma-ma,2,1,100
P27,ma-ma.09.rtf,ma-ma,2,1,112
P28,ma-ma.09.rtf,ma-ma,2,1,54
P29,ma-ma.09.rtf,ma-ma,2,1,436
P30,ma-ma.09.rtf,ma-ma,2,1,298
