Participant,Stimulus,condition,semantic,RT
P27,ma-ma.07.rtf,ma-ma,1,0
P28,ma-ma.07.rtf,ma-ma,1,0
P29,ma-ma.07.rtf,ma-ma,1,303
P30,ma-ma.07.rtf,ma-ma,1,674
P31,ma-ma.07.rtf,ma-ma,1,0
P32,ma-ma.07.rtf,ma-ma,1,215
P33,ma-ma.07.rtf,ma-ma,1,0
P34,ma-ma.07.rtf,ma-ma,1,0
P35,ma-ma.07.rtf,ma-ma,1,92
P36,ma-ma.07.rtf,ma-ma,1,185
P37,ma-ma.07.rtf,ma-ma,1,122
P01,ma-ma.08.rtf,ma-ma,1,458
P02,ma-ma.08.rtf,ma-ma,1,0
P03,ma-ma.08.rtf,ma-ma,1,0
P04,ma-ma.08.rtf,ma-ma,1,195
P05,ma-ma.08.rtf,ma-ma,1,0
P06,ma-ma.08.rtf,ma-ma,1,200
P07,ma-ma.08.rtf,ma-ma,1,0
P08,ma-ma.08.rtf,ma-ma,1,0
P09,ma-ma.08.rtf,ma-ma,1,0
P10,ma-ma.08.rtf,ma-ma,1,0
P11,ma-ma.08.rtf,ma-ma,1,141
P12,ma-ma.08.rtf,ma-ma,1,0
P13,ma-ma.08.rtf,ma-ma,1,0
P14,ma-ma.08.rtf,ma-ma,1,544
P15,ma-ma.08.rtf,ma-ma,1,528
P16,ma-ma.08.rtf,ma-ma,1,136
P17,ma-ma.08.rtf,ma-ma,1,0
P18,ma-ma.08.rtf,ma-ma,1,0
P19,ma-ma.08.rtf,ma-ma,1,0
P20,ma-ma.08.rtf,ma-ma,1,337
P22,ma-ma.08.rtf,ma-ma,1,166
P23,ma-ma.08.rtf,ma-ma,1,941
P24,ma-ma.08.rtf,ma-ma,1,0
P25,ma-ma.08.rtf,ma-ma,1,578
P26,ma-ma.08.rtf,ma-ma,1,151
P27,ma-ma.08.rtf,ma-ma,1,0
P28,ma-ma.08.rtf,ma-ma,1,78
P29,ma-ma.08.rtf,ma-ma,1,0
P30,ma-ma.08.rtf,ma-ma,1,709
P31,ma-ma.08.rtf,ma-ma,1,0
P32,ma-ma.08.rtf,ma-ma,1,283
P33,ma-ma.08.rtf,ma-ma,1,0
P34,ma-ma.08.rtf,ma-ma,1,0
P35,ma-ma.08.rtf,ma-ma,1,102
P36,ma-ma.08.rtf,ma-ma,1,0
P37,ma-ma.08.rtf,ma-ma,1,351
P01,ma-ma.09.rtf,ma-ma,1,0
P02,ma-ma.09.rtf,ma-ma,1,0
P03,ma-ma.09.rtf,ma-ma,1,0
P04,ma-ma.09.rtf,ma-ma,1,1008
P05,ma-ma.09.rtf,ma-ma,1,0
P07,ma-ma.09.rtf,ma-ma,1,0
P08,ma-ma.09.rtf,ma-ma,1,0
P09,ma-ma.09.rtf,ma-ma,1,430
P10,ma-ma.09.rtf,ma-ma,1,0
P11,ma-ma.09.rtf,ma-ma,1,0
P12,ma-ma.09.rtf,ma-ma,1,0
P13,ma-ma.09.rtf,ma-ma,1,0
P14,ma-ma.09.rtf,ma-ma,1,440
P15,ma-ma.09.rtf,ma-ma,1,474
P16,ma-ma.09.rtf,ma-ma,1,136
P17,ma-ma.09.rtf,ma-ma,1,0
P18,ma-ma.09.rtf,ma-ma,1,0
P19,ma-ma.09.rtf,ma-ma,1,0
P20,ma-ma.09.rtf,ma-ma,1,655
P21,ma-ma.09.rtf,ma-ma,1,205
P22,ma-ma.09.rtf,ma-ma,1,246
P23,ma-ma.09.rtf,ma-ma,1,478
P24,ma-ma.09.rtf,ma-ma,1,0
P25,ma-ma.09.rtf,ma-ma,1,327
P26,ma-ma.09.rtf,ma-ma,1,261
P27,ma-ma.09.rtf,ma-ma,1,0
P28,ma-ma.09.rtf,ma-ma,1,102
P29,ma-ma.09.rtf,ma-ma,1,0
P30,ma-ma.09.rtf,ma-ma,1,586
P31,ma-ma.09.rtf,ma-ma,1,0
P32,ma-ma.09.rtf,ma-ma,1,332
P33,ma-ma.09.rtf,ma-ma,1,0
P34,ma-ma.09.rtf,ma-ma,1,0
P35,ma-ma.09.rtf,ma-ma,1,0
P36,ma-ma.09.rtf,ma-ma,1,0
P37,ma-ma.09.rtf,ma-ma,1,176
P01,ma-ma.10.rtf,ma-ma,1,0
P02,ma-ma.10.rtf,ma-ma,1,0
