Stimulus,Participant,condition,parallel,semantic,RT
ma-nma.01.rtf,P03,ma-nma,1,2,0
ma-nma.01.rtf,P04,ma-nma,1,2,0
ma-nma.01.rtf,P05,ma-nma,1,2,0
ma-nma.01.rtf,P06,ma-nma,1,2,0
ma-nma.01.rtf,P07,ma-nma,1,2,0
ma-ma.12.rtf,P18,ma-ma,2,1,176.4
ma-nma.01.rtf,P01,ma-nma,1,2,382.2
ma-nma.01.rtf,P08,ma-nma,1,2,0
ma-nma.01.rtf,P09,ma-nma,1,2,0
ma-nma.01.rtf,P19,ma-nma,1,2,0
ma-nma.01.rtf,P21,ma-nma,1,2,0
ma-nma.01.rtf,P23,ma-nma,1,2,0
ma-nma.01.rtf,P25,ma-nma,1,2,0
ma-nma.01.rtf,P29,ma-nma,1,2,0
ma-nma.01.rtf,P31,ma-nma,1,2,0
ma-nma.01.rtf,P33,ma-nma,1,2,0
ma-nma.01.rtf,P35,ma-nma,1,2,0
ma-nma.01.rtf,P37,ma-nma,1,2,0
ma-nma.01.rtf,P27,ma-nma,1,2,112.1
ma-nma.01.rtf,P10,ma-nma,1,2,0
ma-nma.01.rtf,P11,ma-nma,1,2,0
ma-nma.01.rtf,P12,ma-nma,1,2,0
ma-nma.01.rtf,P13,ma-nma,1,2,0
ma-nma.01.rtf,P14,ma-nma,1,2,254.3
ma-nma.02.rtf,P01,ma-nma,1,2,362.8
ma-nma.02.rtf,P07,ma-nma,1,2,88
ma-nma.01.rtf,P15,ma-nma,1,2,0
ma-nma.01.rtf,P16,ma-nma,1,2,0
ma-nma.02.rtf,P08,ma-nma,1,2,156.5
ma-nma.01.rtf,P17,ma-nma,1,2,0
ma-nma.01.rtf,P18,ma-nma,1,2,0
ma-nma.02.rtf,P16,ma-nma,1,2,107.8
ma-nma.01.rtf,P20,ma-nma,1,2,0
ma-nma.02.rtf,P22,ma-nma,1,2,100.7
ma-nma.01.rtf,P22,ma-nma,1,2,0
ma-nma.01.rtf,P24,ma-nma,1,2,0
ma-nma.01.rtf,P26,ma-nma,1,2,0
ma-nma.01.rtf,P28,ma-nma,1,2,0
ma-nma.01.rtf,P30,ma-nma,1,2,0
