subjects,items,condition,parallel,semantic,RT
P37,ma-nma.01.rtf,ma-nma,1,2,831.2
P02,ma-nma.02.rtf,ma-nma,1,2,581.9
P03,ma-nma.02.rtf,ma-nma,1,2,381.4
P04,ma-nma.02.rtf,ma-nma,1,2,1911.3
P05,ma-nma.02.rtf,ma-nma,1,2,454.8
P06,ma-nma.02.rtf,ma-nma,1,2,2322.9
P07,ma-nma.02.rtf,ma-nma,1,2,1281.8
P08,ma-nma.02.rtf,ma-nma,1,2,860.8
P09,ma-nma.02.rtf,ma-nma,1,2,444.9
P10,ma-nma.02.rtf,ma-nma,1,2,576.6
P11,ma-nma.02.rtf,ma-nma,1,2,1124.7
P12,ma-nma.02.rtf,ma-nma,1,2,1520.9
P13,ma-nma.02.rtf,ma-nma,1,2,1476.9
P14,ma-nma.02.rtf,ma-nma,1,2,2421.2
P16,ma-nma.02.rtf,ma-nma,1,2,909.7
P17,ma-nma.02.rtf,ma-nma,1,2,718.8
P18,ma-nma.02.rtf,ma-nma,1,2,542.9
P19,ma-nma.02.rtf,ma-nma,1,2,933.8
P20,ma-nma.02.rtf,ma-nma,1,2,866.9
P21,ma-nma.02.rtf,ma-nma,1,2,1931.1
P22,ma-nma.02.rtf,ma-nma,1,2,931.2
P23,ma-nma.02.rtf,ma-nma,1,2,2527
P24,ma-nma.02.rtf,ma-nma,1,2,1887.9
P25,ma-nma.02.rtf,ma-nma,1,2,624.3
P26,ma-nma.02.rtf,ma-nma,1,2,1429.6
P27,ma-nma.02.rtf,ma-nma,1,2,1130.2
P28,ma-nma.02.rtf,ma-nma,1,2,2838.1
P29,ma-nma.02.rtf,ma-nma,1,2,635.7
P30,ma-nma.02.rtf,ma-nma,1,2,1383.7
P31,ma-nma.02.rtf,ma-nma,1,2,958.6
P32,ma-nma.02.rtf,ma-nma,1,2,2224.9
P33,ma-nma.02.rtf,ma-nma,1,2,1061.2
P34,ma-nma.02.rtf,ma-nma,1,2,753.1
P35,ma-nma.02.rtf,ma-nma,1,2,249.8
P36,ma-nma.02.rtf,ma-nma,1,2,557.5
P37,ma-nma.02.rtf,ma-nma,1,2,1594.2
P01,ma-nma.03.rtf,ma-nma,1,2,2098.2
P02,ma-nma.03.rtf,ma-nma,1,2,680.2
P03,ma-nma.03.rtf,ma-nma,1,2,1080.2
P04,ma-nma.03.rtf,ma-nma,1,2,700
P05,ma-nma.03.rtf,ma-nma,1,2,508.5
P06,ma-nma.03.rtf,ma-nma,1,2,1882.7
P07,ma-nma.03.rtf,ma-nma,1,2,557.5
P08,ma-nma.03.rtf,ma-nma,1,2,1985.5
P09,ma-nma.03.rtf,ma-nma,1,2,939.4
P10,ma-nma.03.rtf,ma-nma,1,2,744.8
P11,ma-nma.03.rtf,ma-nma,1,2,1677.1
P12,ma-nma.03.rtf,ma-nma,1,2,728.7
P13,ma-nma.03.rtf,ma-nma,1,2,826.4
P14,ma-nma.03.rtf,ma-nma,1,2,3441.7
P15,ma-nma.03.rtf,ma-nma,1,2,743.9
P16,ma-nma.03.rtf,ma-nma,1,2,841
P17,ma-nma.03.rtf,ma-nma,1,2,958.9
P18,ma-nma.03.rtf,ma-nma,1,2,1119.9
P19,ma-nma.03.rtf,ma-nma,1,2,1065.8
P20,ma-nma.03.rtf,ma-nma,1,2,366.7
P21,ma-nma.03.rtf,ma-nma,1,2,655
P22,ma-nma.03.rtf,ma-nma,1,2,790.6
P23,ma-nma.03.rtf,ma-nma,1,2,1747.9
