subjects,items,condition,parallel,semantic,RT
P07,ma-ma.01.rtf,ma-ma,2,1,0
P08,ma-ma.01.rtf,ma-ma,2,1,0
P09,ma-ma.01.rtf,ma-ma,2,1,0
P10,ma-ma.01.rtf,ma-ma,2,1,0
P11,ma-ma.01.rtf,ma-ma,2,1,0
P12,ma-ma.01.rtf,ma-ma,2,1,0
P13,ma-ma.01.rtf,ma-ma,2,1,0
P16,ma-ma.01.rtf,ma-ma,2,1,0
P18,ma-ma.01.rtf,ma-ma,2,1,0
P19,ma-ma.01.rtf,ma-ma,2,1,0
P20,ma-ma.01.rtf,ma-ma,2,1,0
P22,ma-ma.01.rtf,ma-ma,2,1,0
P25,ma-ma.01.rtf,ma-ma,2,1,0
P27,ma-ma.01.rtf,ma-ma,2,1,0
P29,ma-ma.01.rtf,ma-ma,2,1,0
P30,ma-ma.01.rtf,ma-ma,2,1,0
P33,ma-ma.01.rtf,ma-ma,2,1,0
P34,ma-ma.01.rtf,ma-ma,2,1,0
P35,ma-ma.01.rtf,ma-ma,2,1,0
P36,ma-ma.01.rtf,ma-ma,2,1,0
P02,ma-ma.01.rtf,ma-ma,2,1,0
P04,ma-ma.01.rtf,ma-ma,2,1,0
P05,ma-ma.01.rtf,ma-ma,2,1,0
P06,ma-ma.01.rtf,ma-ma,2,1,0
P07,ma-ma.01.rtf,ma-ma,2,1,0
P09,ma-ma.01.rtf,ma-ma,2,1,0
P10,ma-ma.01.rtf,ma-ma,2,1,0
P11,ma-ma.01.rtf,ma-ma,2,1,0
P12,ma-ma.01.rtf,ma-ma,2,1,0
P13,ma-ma.01.rtf,ma-ma,2,1,0
P14,ma-ma.01.rtf,ma-ma,2,1,0
P15,ma-ma.01.rtf,ma-ma,2,1,0
P16,ma-ma.01.rtf,ma-ma,2,1,0
P17,ma-ma.01.rtf,ma-ma,2,1,0
P18,ma-ma.01.rtf,ma-ma,2,1,0
P20,ma-ma.01.rtf,ma-ma,2,1,0
P24,ma-ma.01.rtf,ma-ma,2,1,0
P25,ma-ma.01.rtf,ma-ma,2,1,0
P26,ma-ma.01.rtf,ma-ma,2,1,0
P27,ma-ma.01.rtf,ma-ma,2,1,0
P28,ma-ma.01.rtf,ma-ma,2,1,0
P29,ma-ma.01.rtf,ma-ma,2,1,0
P30,ma-ma.01.rtf,ma-ma,2,1,0
P31,ma-ma.01.rtf,ma-ma,2,1,0
P33,ma-ma.01.rtf,ma-ma,2,1,0
P34,ma-ma.01.rtf,ma-ma,2,1,0
P35,ma-ma.01.rtf,ma-ma,2,1,0
P36,ma-ma.01.rtf,ma-ma,2,1,0
P37,ma-ma.01.rtf,ma-ma,2,1,0
P01,ma-ma.01.rtf,ma-ma,2,1,0
P02,ma-ma.01.rtf,ma-ma,2,1,0
P03,ma-ma.01.rtf,ma-ma,2,1,0
P04,ma-ma.01.rtf,ma-ma,2,1,0
P05,ma-ma.01.rtf,ma-ma,2,1,0
P06,ma-ma.01.rtf,ma-ma,2,1,0
P07,ma-ma.01.rtf,ma-ma,2,1,0
P08,ma-ma.01.rtf,ma-ma,2,1,0
P09,ma-ma.01.rtf,ma-ma,2,1,0
P10,ma-ma.01.rtf,ma-ma,2,1,0
P11,ma-ma.01.rtf,ma-ma,2,1,0
P12,ma-ma.01.rtf,ma-ma,2,1,0
P13,ma-ma.01.rtf,ma-ma,2,1,0
P14,ma-ma.01.rtf,ma-ma,2,1,0
P15,ma-ma.01.rtf,ma-ma,2,1,0
P16,ma-ma.01.rtf,ma-ma,2,1,0
P17,ma-ma.01.rtf,ma-ma,2,1,0
P18,ma-ma.01.rtf,ma-ma,2,1,0
P19,ma-ma.01.rtf,ma-ma,2,1,0
P20,ma-ma.01.rtf,ma-ma,2,1,0
P21,ma-ma.01.rtf,ma-ma,2,1,0
P22,ma-ma.01.rtf,ma-ma,2,1,0
P23,ma-ma.01.rtf,ma-ma,2,1,0
P24,ma-ma.01.rtf,ma-ma,2,1,0
P25,ma-ma.01.rtf,ma-ma,2,1,0
P26,ma-ma.01.rtf,ma-ma,2,1,0
P27,ma-ma.01.rtf,ma-ma,2,1,0
P28,ma-ma.01.rtf,ma-ma,2,1,0
P29,ma-ma.01.rtf,ma-ma,2,1,0
P30,ma-ma.01.rtf,ma-ma,2,1,0
P31,ma-ma.01.rtf,ma-ma,2,1,0
P32,ma-ma.01.rtf,ma-ma,2,1,0
P33,ma-ma.01.rtf,ma-ma,2,1,0
P34,ma-ma.01.rtf,ma-ma,2,1,0
P35,ma-ma.01.rtf,ma-ma,2,1,0
P36,ma-ma.01.rtf,ma-ma,2,1,0
P37,ma-ma.01.rtf,ma-ma,2,1,0
P03,ma-ma.01.rtf,ma-ma,2,1,0
P05,ma-ma.01.rtf,ma-ma,2,1,0
P07,ma-ma.01.rtf,ma-ma,2,1,0
P09,ma-ma.01.rtf,ma-ma,2,1,0
P11,ma-ma.01.rtf,ma-ma,2,1,0
P18,ma-ma.01.rtf,ma-ma,2,1,0
P33,ma-ma.01.rtf,ma-ma,2,1,0
P34,ma-ma.01.rtf,ma-ma,2,1,0
P35,ma-ma.01.rtf,ma-ma,2,1,0
P36,ma-ma.01.rtf,ma-ma,2,1,0
P15,ma-ma.02.rtf,ma-ma,2,1,3196
P21,ma-ma.02.rtf,ma-ma,2,1,3011
P06,ma-ma.02.rtf,ma-ma,2,1,3006
P12,ma-ma.02.rtf,ma-ma,2,1,2856
P08,ma-ma.02.rtf,ma-ma,2,1,2616
P23,ma-ma.02.rtf,ma-ma,2,1,2572
P12,ma-ma.02.rtf,ma-ma,2,1,2542
P15,ma-ma.02.rtf,ma-ma,2,1,2366
P23,ma-ma.02.rtf,ma-ma,2,1,2335
P25,ma-ma.02.rtf,ma-ma,2,1,2089
P21,ma-ma.02.rtf,ma-ma,2,1,2089
P12,ma-ma.02.rtf,ma-ma,2,1,2063
P29,ma-ma.02.rtf,ma-ma,2,1,1745
P02,ma-ma.02.rtf,ma-ma,2,1,1745
P14,ma-ma.02.rtf,ma-ma,2,1,1745
P06,ma-ma.02.rtf,ma-ma,2,1,1735
P02,ma-ma.02.rtf,ma-ma,2,1,1677
P21,ma-ma.02.rtf,ma-ma,2,1,1599
P05,ma-ma.02.rtf,ma-ma,2,1,1589
P14,ma-ma.02.rtf,ma-ma,2,1,1584
P25,ma-ma.02.rtf,ma-ma,2,1,1580
P25,ma-ma.02.rtf,ma-ma,2,1,1571
P14,ma-ma.02.rtf,ma-ma,2,1,1520
P08,ma-ma.02.rtf,ma-ma,2,1,1485
P14,ma-ma.02.rtf,ma-ma,2,1,1476
P21,ma-ma.02.rtf,ma-ma,2,1,1475
P29,ma-ma.02.rtf,ma-ma,2,1,1471
P11,ma-ma.02.rtf,ma-ma,2,1,1462
P32,ma-ma.02.rtf,ma-ma,2,1,1418
P12,ma-ma.02.rtf,ma-ma,2,1,1403
P15,ma-ma.02.rtf,ma-ma,2,1,1335
P06,ma-ma.02.rtf,ma-ma,2,1,1325
P14,ma-ma.02.rtf,ma-ma,2,1,1325
P15,ma-ma.02.rtf,ma-ma,2,1,1319
P26,ma-ma.02.rtf,ma-ma,2,1,1288
P06,ma-ma.02.rtf,ma-ma,2,1,1276
P15,ma-ma.02.rtf,ma-ma,2,1,1232
P08,ma-ma.02.rtf,ma-ma,2,1,1227
P02,ma-ma.02.rtf,ma-ma,2,1,1178
P23,ma-ma.02.rtf,ma-ma,2,1,1142
P19,ma-ma.02.rtf,ma-ma,2,1,1071
P19,ma-ma.02.rtf,ma-ma,2,1,1071
P12,ma-ma.02.rtf,ma-ma,2,1,1066
P23,ma-ma.02.rtf,ma-ma,2,1,1032
P21,ma-ma.02.rtf,ma-ma,2,1,988
P23,ma-ma.02.rtf,ma-ma,2,1,986
P08,ma-ma.02.rtf,ma-ma,2,1,982
P12,ma-ma.02.rtf,ma-ma,2,1,963
P06,ma-ma.02.rtf,ma-ma,2,1,943
P30,ma-ma.02.rtf,ma-ma,2,1,929
P30,ma-ma.02.rtf,ma-ma,2,1,929
P29,ma-ma.02.rtf,ma-ma,2,1,929
P14,ma-ma.02.rtf,ma-ma,2,1,909
P08,ma-ma.02.rtf,ma-ma,2,1,890
P05,ma-ma.02.rtf,ma-ma,2,1,889
P01,ma-ma.02.rtf,ma-ma,2,1,886
P20,ma-ma.02.rtf,ma-ma,2,1,836
P03,ma-ma.02.rtf,ma-ma,2,1,821
P29,ma-ma.02.rtf,ma-ma,2,1,816
P29,ma-ma.02.rtf,ma-ma,2,1,806
P32,ma-ma.02.rtf,ma-ma,2,1,796
P08,ma-ma.02.rtf,ma-ma,2,1,792
P02,ma-ma.02.rtf,ma-ma,2,1,792
P25,ma-ma.02.rtf,ma-ma,2,1,785
P15,ma-ma.02.rtf,ma-ma,2,1,757
P04,ma-ma.02.rtf,ma-ma,2,1,749
P23,ma-ma.02.rtf,ma-ma,2,1,735
P10,ma-ma.02.rtf,ma-ma,2,1,733
P01,ma-ma.02.rtf,ma-ma,2,1,729
P29,ma-ma.02.rtf,ma-ma,2,1,728
P08,ma-ma.02.rtf,ma-ma,2,1,728
P07,ma-ma.02.rtf,ma-ma,2,1,714
P09,ma-ma.02.rtf,ma-ma,2,1,709
P03,ma-ma.02.rtf,ma-ma,2,1,704
P05,ma-ma.02.rtf,ma-ma,2,1,699
P14,ma-ma.02.rtf,ma-ma,2,1,699
P07,ma-ma.02.rtf,ma-ma,2,1,684
P28,ma-ma.02.rtf,ma-ma,2,1,684
P26,ma-ma.02.rtf,ma-ma,2,1,674
P12,ma-ma.02.rtf,ma-ma,2,1,665
P25,ma-ma.02.rtf,ma-ma,2,1,664
P25,ma-ma.02.rtf,ma-ma,2,1,660
P35,ma-ma.02.rtf,ma-ma,2,1,659
P20,ma-ma.02.rtf,ma-ma,2,1,640
P08,ma-ma.02.rtf,ma-ma,2,1,639
P13,ma-ma.02.rtf,ma-ma,2,1,626
P11,ma-ma.02.rtf,ma-ma,2,1,625
P26,ma-ma.02.rtf,ma-ma,2,1,614
P26,ma-ma.02.rtf,ma-ma,2,1,614
P32,ma-ma.02.rtf,ma-ma,2,1,606
P30,ma-ma.02.rtf,ma-ma,2,1,602
P31,ma-ma.02.rtf,ma-ma,2,1,596
P01,ma-ma.02.rtf,ma-ma,2,1,593
P27,ma-ma.02.rtf,ma-ma,2,1,591
P27,ma-ma.02.rtf,ma-ma,2,1,591
P25,ma-ma.02.rtf,ma-ma,2,1,573
P01,ma-ma.02.rtf,ma-ma,2,1,558
P32,ma-ma.02.rtf,ma-ma,2,1,543
P19,ma-ma.02.rtf,ma-ma,2,1,538
P19,ma-ma.02.rtf,ma-ma,2,1,537
P19,ma-ma.02.rtf,ma-ma,2,1,533
P30,ma-ma.02.rtf,ma-ma,2,1,513
P22,ma-ma.02.rtf,ma-ma,2,1,513
P29,ma-ma.02.rtf,ma-ma,2,1,513
P07,ma-ma.02.rtf,ma-ma,2,1,508
P24,ma-ma.02.rtf,ma-ma,2,1,488
P03,ma-ma.02.rtf,ma-ma,2,1,474
P23,ma-ma.02.rtf,ma-ma,2,1,473
P21,ma-ma.02.rtf,ma-ma,2,1,469
P25,ma-ma.02.rtf,ma-ma,2,1,468
P09,ma-ma.02.rtf,ma-ma,2,1,464
P06,ma-ma.02.rtf,ma-ma,2,1,464
P13,ma-ma.02.rtf,ma-ma,2,1,455
P03,ma-ma.02.rtf,ma-ma,2,1,454
P06,ma-ma.02.rtf,ma-ma,2,1,449
P08,ma-ma.02.rtf,ma-ma,2,1,440
P01,ma-ma.02.rtf,ma-ma,2,1,438
P33,ma-ma.02.rtf,ma-ma,2,1,435
P24,ma-ma.02.rtf,ma-ma,2,1,433
