subjects,items,condition,parallel,semantic,RT
P07,ma-ma.09.rtf,ma-ma,2,1,1482
P20,ma-ma.09.rtf,ma-ma,2,1,1428
P22,ma-ma.09.rtf,ma-ma,2,1,1394
P32,ma-ma.09.rtf,ma-ma,2,1,1393
P25,ma-ma.09.rtf,ma-ma,2,1,1385
P04,ma-ma.09.rtf,ma-ma,2,1,1325
P11,ma-ma.09.rtf,ma-ma,2,1,1227
P13,ma-ma.09.rtf,ma-ma,2,1,1227
P30,ma-ma.09.rtf,ma-ma,2,1,1198
P01,ma-ma.09.rtf,ma-ma,2,1,1188
P21,ma-ma.09.rtf,ma-ma,2,1,1110
P19,ma-ma.09.rtf,ma-ma,2,1,1105
P35,ma-ma.09.rtf,ma-ma,2,1,1081
P34,ma-ma.09.rtf,ma-ma,2,1,1046
P02,ma-ma.09.rtf,ma-ma,2,1,968
P24,ma-ma.09.rtf,ma-ma,2,1,966
P37,ma-ma.09.rtf,ma-ma,2,1,934
P16,ma-ma.09.rtf,ma-ma,2,1,904
P31,ma-ma.09.rtf,ma-ma,2,1,885
P10,ma-ma.09.rtf,ma-ma,2,1,860
P17,ma-ma.09.rtf,ma-ma,2,1,840
P33,ma-ma.09.rtf,ma-ma,2,1,800
P05,ma-ma.09.rtf,ma-ma,2,1,645
P26,ma-ma.09.rtf,ma-ma,2,1,422
P36,ma-ma.09.rtf,ma-ma,2,1,420
P15,ma-ma.09.rtf,ma-ma,2,1,151
P09,ma-ma.09.rtf,ma-ma,2,1,146
P28,ma-ma.09.rtf,ma-ma,2,1,141
P03,ma-ma.09.rtf,ma-ma,2,1,68
P25,ma-ma.10.rtf,ma-ma,2,1,2582
P01,ma-ma.10.rtf,ma-ma,2,1,2457
P08,ma-ma.10.rtf,ma-ma,2,1,2420
P07,ma-ma.10.rtf,ma-ma,2,1,2368
P32,ma-ma.10.rtf,ma-ma,2,1,2318
P21,ma-ma.10.rtf,ma-ma,2,1,2206
P27,ma-ma.10.rtf,ma-ma,2,1,2151
P06,ma-ma.10.rtf,ma-ma,2,1,2024
P37,ma-ma.10.rtf,ma-ma,2,1,2004
P29,ma-ma.10.rtf,ma-ma,2,1,1970
P24,ma-ma.10.rtf,ma-ma,2,1,1928
P23,ma-ma.10.rtf,ma-ma,2,1,1817
P33,ma-ma.10.rtf,ma-ma,2,1,1750
P31,ma-ma.10.rtf,ma-ma,2,1,1642
P14,ma-ma.10.rtf,ma-ma,2,1,1594
P30,ma-ma.10.rtf,ma-ma,2,1,1452
P22,ma-ma.10.rtf,ma-ma,2,1,1308
P18,ma-ma.10.rtf,ma-ma,2,1,1242
P35,ma-ma.10.rtf,ma-ma,2,1,1222
P20,ma-ma.10.rtf,ma-ma,2,1,1207
P26,ma-ma.10.rtf,ma-ma,2,1,1177
P11,ma-ma.10.rtf,ma-ma,2,1,1124
P12,ma-ma.10.rtf,ma-ma,2,1,1031
P05,ma-ma.10.rtf,ma-ma,2,1,1012
P02,ma-ma.10.rtf,ma-ma,2,1,987
P34,ma-ma.10.rtf,ma-ma,2,1,968
P16,ma-ma.10.rtf,ma-ma,2,1,919
P15,ma-ma.10.rtf,ma-ma,2,1,855
P36,ma-ma.10.rtf,ma-ma,2,1,831
P13,ma-ma.10.rtf,ma-ma,2,1,738
P04,ma-ma.10.rtf,ma-ma,2,1,699
P10,ma-ma.10.rtf,ma-ma,2,1,689
P17,ma-ma.10.rtf,ma-ma,2,1,504
P19,ma-ma.10.rtf,ma-ma,2,1,493
P03,ma-ma.10.rtf,ma-ma,2,1,278
P09,ma-ma.10.rtf,ma-ma,2,1,137
P28,ma-ma.10.rtf,ma-ma,2,1,102
P06,ma-ma.11.rtf,ma-ma,2,1,3129
P19,ma-ma.11.rtf,ma-ma,2,1,2606
P01,ma-ma.11.rtf,ma-ma,2,1,2395
P21,ma-ma.11.rtf,ma-ma,2,1,1883
P20,ma-ma.11.rtf,ma-ma,2,1,1779
P31,ma-ma.11.rtf,ma-ma,2,1,1706
P08,ma-ma.11.rtf,ma-ma,2,1,1676
P32,ma-ma.11.rtf,ma-ma,2,1,1662
P15,ma-ma.11.rtf,ma-ma,2,1,1599
P11,ma-ma.11.rtf,ma-ma,2,1,1428
P18,ma-ma.11.rtf,ma-ma,2,1,1344
P28,ma-ma.11.rtf,ma-ma,2,1,1329
P04,ma-ma.11.rtf,ma-ma,2,1,1300
P10,ma-ma.11.rtf,ma-ma,2,1,1261
P24,ma-ma.11.rtf,ma-ma,2,1,1188
P37,ma-ma.11.rtf,ma-ma,2,1,1173
P02,ma-ma.11.rtf,ma-ma,2,1,1168
P34,ma-ma.11.rtf,ma-ma,2,1,1124
P27,ma-ma.11.rtf,ma-ma,2,1,1119
P29,ma-ma.11.rtf,ma-ma,2,1,1032
P16,ma-ma.11.rtf,ma-ma,2,1,934
P14,ma-ma.11.rtf,ma-ma,2,1,933
P25,ma-ma.11.rtf,ma-ma,2,1,915
P07,ma-ma.11.rtf,ma-ma,2,1,890
P36,ma-ma.11.rtf,ma-ma,2,1,875
